name,x,y,z,vx,vy,vz,mass,radius
Sun, -8.572865039469250e5, -7.346088835335051e5, 2.685423265526889e4, 1.071238728785501e3, -5.485075152025493e2, 1.760725343998239e1, 1.988410e30, 695700
Earth, -2.758794880287251e7,  1.439239583084676e8,  1.921064327326417e4, -2.572721019039098e6, -4.782942726453408e5, -1.679087181951786e1, 5.97e24, 6378.137
Mars, -7.890038131682467e7,  2.274372361241295e8,  6.722196400986686e6, -1.900592195510067e6, -5.000318002483576e5,  3.615198903661306e4, 0.642e24, 3389.92
Jupiter, 1.571230833020991e8,  7.429840488421507e8, -6.597049828231782e6, -1.117363193230881e6,  2.873475195512663e5,  2.380698059780196e4, 1898e24, 71492
Saturn, 1.414498231862034e9, -2.647172137275474e8, -5.171551879510410e7,  1.071930930003760e5,  8.185144258241701e5, -1.845324056067337e4, 568e24, 60268
Uranus, 1.660222886897103e9,  2.406966367551249e9, -1.256907181827700e7, -4.886707260141848e5,  3.066549648257534e5,  7.475345445107337e3, 86.8e24, 25362
Neptune, 4.469116222588663e9, -9.560778256566879e7, -1.010264767638457e8,  6.967781294519262e3,  4.722390735158813e5, -9.946412804223553e3, 102e24, 24624
