,id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
445,bK17G08C,3774016,       (2017 GC8),2017 GC8,,,N,N,18.1,,,,2,2459000.5,59000,20200531.0,J2000,0.7432757939931128,10.29034845120693,2.641781535670301,6.534218510815013,347.2922729159485,202.7190768105493,35.07530176059163,17.93891536674357,0.0298578789026099,2457825.758087656,20170313.2580877,12057.11903294414,33.0105928348916,1.64415,639.8538555,0.00010698,0.0061779,0.00051791,0.0020317,0.0063719,0.020867,0.031302,0.01077,2.6888e-05,0.063688,10.858,CEN,0.55825
446,bK17G08Y,3774569,       (2017 GY8),2017 GY8,,,N,N,13.2,,,,JPL 3,2459000.5,59000,20200531.0,J2000,0.68211551224588,26.49410131043716,8.422063823574078,13.60175788951473,56.42139477991224,117.4248914090933,10.48683670122606,44.56613879730025,0.007227369936883,2457549.5106646246,20160610.0106646,49810.65078222024,136.374129451664,7.45182,2900.0247894,1.1527e-05,0.0010196,1.926e-05,1.8993e-05,8.7283e-05,0.00028051,0.00062619,0.001715,4.1719e-07,0.005112,2.8752,CEN,0.7671
447,bK17G08Z,3774622,       (2017 GZ8),2017 GZ8,,,N,N,14.4,,,,JPL 3,2459000.5,59000,20200531.0,J2000,0.4791193184313226,7.597285902830293,3.957279459138348,5.512445968561525,118.1559110890137,76.39194807091857,56.62572418583613,11.23729234652224,0.0470669838409618,2457797.4119844777,20170212.9119845,7648.673669348157,20.9409272261414,2.96254,1152.9316918,6.5687e-06,0.0001152,1.0742e-05,1.1041e-05,0.0001939,0.00066842,0.0011114,0.0001704,1.0705e-06,0.0043777,0.17397,CEN,0.5803
448,bK17N02M,3776420,       (2017 NM2),2017 NM2,,,N,N,13.4,,,,5,2459000.5,59000,20200531.0,J2000,0.6231471738033462,14.64199531250513,5.517877314675714,101.2865469366908,99.31256090567187,89.52108673306768,20.64713854671951,23.76611331033454,0.0175915326485707,2457826.802462714,20170314.3024627,20464.39086302403,56.0284486325093,5.33517,2076.2881089,1.6695e-05,0.00067926,1.2126e-05,1.5351e-05,4.591e-05,0.00058817,0.0015389,0.0011025,1.2241e-06,0.0064848,1.424,CEN,0.7664
449,bK17P24Y,3779525,       (2017 PY24),2017 PY24,,,N,N,17.6,,,,13,2459000.5,59000,20200531.0,J2000,0.924504460177454,17.36529392919327,1.311002239361628,71.81395022192885,317.2891058987526,68.74398079366443,13.50192277585677,33.41958561902491,0.0136201178652133,2458009.1779784528,20170912.6779785,26431.48932796405,72.3654738616401,0.69135,269.0526795,0.0017192,0.40106,0.00042433,0.017423,0.014934,0.03153,0.46711,0.77184,0.00047184,0.04698,915.67,CEN,0.41473
450,bK17Q33F,3781244,       (2017 QF33),2017 QF33,,,N,N,13.1,,,,8,2459000.5,59000,20200531.0,J2000,0.7378779147374036,25.20982247348184,6.608051235848925,3.266131568435102,188.156701721873,163.0009843575843,3.827571462769189,43.81159371111475,0.0077866273845916,2458508.942965905,20190125.4429659,46233.1099485225,126.579356464127,5.60275,2180.4222175,9.9019e-06,0.0010028,1.3448e-05,1.3267e-05,0.00025882,0.00037217,0.00020349,0.0017427,4.6459e-07,0.0037632,2.7585,CEN,0.61725
451,bK17Q71K,3937093,       (2017 QK71),2017 QK71,,,N,N,17.3,,,,1,2459000.5,59000,20200531.0,J2000,0.5968281570717285,6.188545978509268,2.495047487201925,23.14462511162138,187.6197359054987,185.6352198953603,59.04160494914334,9.882044469816613,0.0640208065220168,2458078.27473986,20171120.7747399,5623.171896095929,15.3954056019053,1.4964,582.353988,1.7976e-05,0.00030677,3.0747e-05,0.00043781,0.00020631,0.0026089,0.0046094,0.00048986,4.7604e-06,0.0080394,0.41812,CEN,0.63067
452,bK17R02R,3781418,       (2017 RR2),2017 RR2,,,N,N,17.5,,,,JPL 3,2459000.5,59000,20200531.0,J2000,0.7821933929954955,11.59888708625604,2.526314241285792,87.08023935784604,145.4106080132232,214.59657070408,21.40910484021578,20.67145993122629,0.0249505195190387,2458142.437512608,20180123.9375126,14428.55727814798,39.5032369011581,1.63594,636.6587698,4.6379e-05,0.0026402,3.9684e-05,0.00087678,0.0002032,0.001841,0.0071859,0.0047054,8.5192e-06,0.0051451,4.9265,CEN,0.80991
453,bK17R16F,3781572,       (2017 RF16),2017 RF16,,,N,N,17.4,,,,3,2459000.5,59000,20200531.0,J2000,0.6338035420958416,6.901058542175617,2.527143193933946,20.50861780943195,32.58619669235353,304.3331364800733,54.75613346080019,11.27497389041729,0.0543663912900486,2457993.331192921,20170827.8311929,6621.738016035932,18.1293306393865,1.58487,616.7838579,0.00019024,0.0044681,0.00032857,0.0037701,0.0084109,0.039982,0.056713,0.0073,5.2799e-05,0.11441,6.4309,CEN,0.42053
454,bK17S11W,3781717,       (2017 SW11),2017 SW11,,,N,N,12.9,,,,JPL 16,2459000.5,59000,20200531.0,J2000,0.5183916623834743,9.766217178563636,4.703491620169988,16.21802729379819,277.3886969946867,164.4493276681462,7.480180911001378,14.82894273695728,0.0322934546718919,2458768.868513465,20191012.3685135,11147.76983935825,30.5209304294545,3.72286,1448.8254262,8.5079e-06,0.00019534,1.1641e-05,1.3197e-05,9.3083e-05,0.00043354,0.00011594,0.00029661,9.6889e-07,0.0036492,0.33446,CEN,0.45492
