"spkid","a","e","i","om","w","ma"
20523783,14.55,0.3013,1.82,213.75,10.64,44.24
20523784,21.43,0.3124,6.43,328.46,325.85,299.57
20523785,14.03,0.5077,16.77,314.81,162.96,67.39
20523790,18.09,0.2691,3.07,140.82,34.98,60.08
20523791,11.51,0.2890,33.24,58.77,139.78,92.07
20527328,21.21,0.1883,3.06,65.36,200.80,140.64
20527443,12.9,0.3359,41.74,184.77,104.24,174.24
20529939,20.82,0.2899,1.81,60.81,345.53,45.51
20531942,16.97,0.3736,18.54,137.11,40.65,40.36
20532094,24.34,0.1989,14.91,137.19,260.48,220.01
20532660,8.908,0.2314,7.05,115.37,260.67,165.12
20533396,25.14,0.3096,22.78,129.40,59.22,45.83
20533559,21.21,0.2914,32.82,94.62,324.80,210.27
20534251,9.017,0.1505,10.72,22.49,289.91,165.97
20535985,20.38,0.1687,28.31,322.28,104.83,60.20
20538495,14.77,0.4592,20.87,59.30,91.18,59.46
20540205,6.172,0.4492,42.69,135.74,295.96,150.89
20547375,25.98,0.0472,18.02,131.64,144.67,125.78
20548141,27.35,0.0878,19.56,123.59,80.52,347.81
20550310,23.08,0.3358,12.52,174.67,356.39,34.70
20558094,24.44,0.4974,22.93,167.70,346.16,18.99
20559176,29.51,0.4315,16.56,8.58,201.95,353.72
20559177,25.2,0.3137,14.99,223.03,326.30,4.20
20559239,18.32,0.3251,22.36,271.24,343.09,319.18
20562274,27.91,0.3776,11.89,144.21,49.47,342.54
20566442,16.13,0.3890,29.72,357.61,184.16,27.27
20567070,19.29,0.3568,31.52,104.69,79.01,30.28
20567122,20.89,0.4169,35.92,338.83,62.53,349.71
20567129,11.43,0.5393,19.92,169.75,331.62,36.25
20574398,22.95,0.3166,17.86,241.21,81.70,356.59
20576162,26.17,0.3782,29.84,139.67,99.61,17.58
20576357,27.8,0.3867,12.31,234.71,125.91,5.73
20576525,7.222,0.3019,9.53,2.13,354.44,39.87
20578559,20.11,0.3158,21.01,102.45,57.73,47.23
20578832,26.53,0.1983,14.28,109.31,88.44,36.35
20578991,11.37,0.0770,23.93,140.66,5.24,193.56
20590218,16.39,0.3180,10.71,299.03,230.34,299.81
20594872,14.41,0.5913,160.38,23.28,332.93,27.68
20606357,6.735,0.2612,5.20,320.76,181.29,72.09
20606653,21.66,0.6440,40.21,1.47,8.03,18.63
20606985,8.337,0.2505,1.81,207.48,182.18,30.24
20606988,22.73,0.4626,13.24,133.43,261.48,3.80
20612093,8.166,0.4682,151.51,292.34,31.98,41.73
20612223,7.256,0.6863,24.39,143.09,241.07,60.86
20612802,22.88,0.1473,21.45,197.65,354.23,80.23
20613214,21.6,0.1331,17.78,39.16,51.92,29.93
20613349,5.887,0.4828,35.65,156.06,52.62,87.78
20613717,6.211,0.3820,3.06,36.63,153.16,32.62
20614592,20.25,0.9194,147.77,296.14,289.11,54.39
20636872,19.15,0.2787,25.51,91.31,280.87,108.03
20641770,7.451,0.5143,7.22,158.00,166.58,39.81
20661238,7.701,0.4667,52.24,31.99,162.09,352.22
20661762,5.863,0.4777,130.50,123.70,254.16,105.00
20666491,20.01,0.1212,8.39,322.20,221.65,162.67
20666634,29.89,0.5846,38.82,187.88,291.39,6.68
20666802,22.52,0.2346,26.80,15.53,10.95,100.61
20670321,30.02,0.4536,20.40,57.36,10.54,354.33
20671088,23.72,0.3454,17.05,245.26,283.41,51.10
20672844,21.25,0.4151,30.32,203.11,333.93,345.89
20677445,10.15,0.1684,5.97,14.04,110.35,16.93
20679338,26.98,0.2471,12.11,64.44,36.45,29.39
20679399,21.7,0.2268,39.63,140.64,325.56,37.98
20679828,19.11,0.3567,7.51,28.10,177.35,3.83
20679837,15.52,0.2827,16.07,104.97,179.50,338.59
20679995,15.75,0.2381,17.05,35.78,90.65,351.06
20687170,19.2,0.1791,10.80,222.41,286.09,316.65
20690149,27.48,0.4333,37.80,288.70,159.14,34.92
20696315,20.13,0.0773,14.25,93.30,69.75,46.22
20698876,11.5,0.2114,10.64,327.69,261.39,339.85
20699673,19.13,0.3074,8.24,147.53,211.48,18.83
20706535,28.72,0.4235,11.56,279.22,356.90,12.23
20708855,20.32,0.2302,25.76,209.09,91.34,18.00
20717021,8.497,0.5543,21.77,286.76,60.89,103.37
20721042,7.155,0.0981,8.73,284.09,47.13,63.04
20721847,20.35,0.2793,16.77,164.55,99.15,71.02
20728840,18.64,0.3222,26.67,123.68,211.00,91.56
20729736,9.039,0.1395,19.60,315.94,54.69,127.99
20750120,14.31,0.6451,31.54,338.33,78.68,47.29
3005962,16.78,0.2998,5.40,137.66,154.01,210.37
3137693,15.94,0.6474,6.09,330.44,107.71,7.84
3137694,24.21,0.2165,9.33,145.20,200.67,0.06
3010203,26.55,0.9427,58.98,281.36,68.97,70.80
54271369,8.259,0.6080,7.36,342.48,54.38,44.30
3185979,6.387,0.6480,8.38,224.00,185.55,348.08
3014714,11.25,0.8133,23.52,311.65,4.00,249.45
3017056,15.13,0.9078,42.69,102.85,304.20,159.95
3031995,25.57,0.6748,10.25,177.81,286.53,17.25
3031996,16.73,0.3590,25.53,3.09,0.15,179.47
3031998,24,0.1467,3.07,353.30,136.25,87.94
3035904,10.77,0.7916,129.45,279.32,222.20,242.58
3038468,23.69,0.4799,34.86,202.55,290.96,104.04
3031999,7.85,0.1198,15.86,89.55,123.87,9.84
3043768,23.57,0.9014,158.49,313.24,82.11,77.21
54179908,7.979,0.7200,18.87,310.17,60.51,27.56
54499785,8.31,0.2502,3.02,140.79,204.27,6.50
3117443,15.88,0.0369,2.61,77.76,287.81,222.61
3133383,10.57,0.6932,12.39,83.64,15.46,238.78
3117453,20.71,0.3847,6.42,313.59,182.39,0.10
3117454,26.54,0.5409,16.22,351.94,227.47,343.88
3137746,25.92,0.1880,9.33,324.75,357.35,71.17
3141505,28.25,0.7802,7.25,42.36,158.35,226.41
3141515,16.1,0.1323,24.40,206.80,183.01,0.01
3144137,19.11,0.3433,21.23,213.38,99.80,33.67
3157345,10.56,0.1939,5.70,252.14,357.71,0.02
3157354,16.96,0.2925,21.16,244.81,4.38,0.01
3160806,20.6,0.2727,18.23,158.61,21.38,235.41
3160807,19.08,0.5789,14.48,0.50,274.43,114.24
3167329,24.91,0.3239,7.87,148.51,218.36,342.37
3167330,21.21,0.3328,31.18,332.10,106.51,291.43
3170280,21.86,0.2722,8.63,28.28,23.88,0.14
3385836,25.94,0.0785,26.42,161.03,17.03,173.79
3170289,14.36,0.8467,27.01,123.68,40.95,136.12
54472940,9.062,0.3585,5.35,74.97,23.60,348.73
3175346,12.84,0.4826,3.62,334.37,125.41,170.24
3463399,30.1,0.1848,13.61,235.71,293.93,87.70
54259120,7.033,0.2331,5.15,113.93,19.68,191.78
3407084,8.702,0.0476,6.85,219.01,180.95,0.04
3485890,9.039,0.1167,18.27,38.80,1.94,0.03
3300581,23.06,0.0101,6.27,305.78,169.68,359.88
3277418,11.29,0.8310,35.52,238.80,314.31,185.35
3294480,29.47,0.9065,91.67,219.97,252.48,42.55
3295749,9.147,0.5853,110.39,218.16,211.85,240.66
3301993,19.91,0.3073,13.49,193.25,230.92,51.40
54179966,17.78,0.9076,14.22,84.45,26.59,73.28
54444058,7.427,0.4848,8.08,258.90,165.84,341.49
3321735,17.74,0.0086,38.89,39.54,2.66,0.31
3328334,28.62,0.1124,32.94,126.76,3.93,358.76
3313978,9.613,0.8006,165.30,183.55,82.07,221.75
54499617,12.58,0.8524,31.47,340.38,271.72,145.00
3330241,10.8,0.6970,31.98,25.02,217.54,181.82
3337028,9.647,0.5059,56.79,75.85,146.43,223.42
3341155,25.76,0.9214,133.17,305.90,344.26,49.22
3342048,9.674,0.7591,164.64,191.58,161.33,218.56
3346461,19.61,0.8311,4.19,185.01,170.66,75.57
54472969,10.87,0.2495,16.00,54.63,48.48,329.86
3563703,23.83,0.2570,64.86,45.31,124.93,46.18
3377171,6.824,0.5004,6.00,197.21,44.57,346.34
54403420,6.524,0.4331,8.26,191.30,169.53,29.39
3521552,6.254,0.5695,17.14,233.35,108.04,43.10
54180112,21.29,0.9259,10.59,215.82,258.14,48.14
3404092,19.59,0.5233,2.91,318.67,317.06,97.83
3424774,8.703,0.0259,9.77,12.68,1.39,0.03
54180142,24.35,0.9412,7.16,44.94,75.85,39.92
54180150,5.811,0.6868,9.30,278.29,206.81,338.62
3404094,24.23,0.6628,6.22,165.84,248.70,43.27
54180176,5.567,0.6725,25.05,142.32,89.17,348.15
3410920,10.97,0.5031,11.97,53.33,164.23,168.17
3410457,11.59,0.7408,26.05,312.14,1.95,149.00
3544362,29.93,0.0848,27.59,88.58,4.76,203.24
54180199,7.662,0.7811,12.14,230.36,21.17,225.25
